Name,Brand,Price,Rating,Processor_name,Threads,RAM_GB,RAM_type,Storage,Storage_type,Graphics_name,Display_size,Touch_screen,OS
Zebronics ZEB NBC,Zebronics,43990,3.1,Intel Core i7,12,16,DDR4,1000, SSD,Intel Integrated,15.6,FALSE,Windows 11 OS
MSI Bravo 15,MSI,49990,2.92,AMD Ryzen 5,12,8,DDR5,512, SSD,AMD Radeon RX6550M,15.6,FALSE,Windows 11 OS
Asus VivoBook 15,Asus,28990,2.9,Intel Core i3,4,8,DDR4,256, SSD,Intel Integrated UHD,15.6,FALSE,Windows 11 OS
Asus TUF Gaming,Asus,72990,3.26,Intel Core i7,16,16,DDR4,512, SSD,NVIDIA GeForce RTX 3050 Ti,15.6,FALSE,Windows 11 OS
MSI Thin GF63,MSI,41990,3.23,Intel Core i5,12,8,DDR4,512, SSD,NVIDIA GeForce GTX 1650,15.6,FALSE,Windows 11 OS
HP Victus 16,HP,60200,3.3,Intel Core i5,12,16,DDR4,512, SSD,NVIDIA GeForce GTX 1650,16.1,FALSE,Windows 11 OS
Infinix INBook Y1,Infinix,18990,3.03,Intel Celeron ,4,4,LPDDR4X,128, SSD,Intel Integrated UHD,15.6,FALSE,Windows 11 OS
Asus Vivobook 15,Asus,58990,2.9,Intel Core i5,16,16,DDR4,512, SSD,Intel Iris Xe,15.6,FALSE,Windows 11 OS
HP Victus 15,HP,64990,3.23,AMD Ryzen 7,16,16,DDR4,512, SSD,NVIDIA GeForce RTX 3050,15.6,FALSE,Windows 11 OS
Dell G15 5530,Dell,145990,3.17,Intel Core i7,12.81790123,16,DDR5,512, SSD,NVIDIA GeForce RTX 4060,15.6,FALSE,Windows 11 OS
HP 15s fr5009TU,HP,37990,2.85,Intel Core i3,8,8,DDR4,512, SSD,Intel UHD Graphics,15.6,FALSE,Windows 11 OS
HP Victus 15,HP,67990,3.27,Intel Core i5,12,16,DDR4,512, SSD,NVIDIA GeForce RTX 3050,15.6,FALSE,Windows 11 OS
Asus Vivobook S14,Asus,65990,2.87,Intel Core i5,16,16,DDR4,512, SSD,Intel Integrated Iris Xe,14,FALSE,Windows 11 OS
